Negara,Total Emisi
Afghanistan,217.993
Albania,293.839
Algeria,4862.567
Andorra,15.484
Angola,657.115
Anguilla,3.588
Antarctica,0.154
Antigua and Barbuda,22.002
Argentina,8636.5
Armenia,383.291
Aruba,76.866
Australia,18968.831
Austria,5571.699
Azerbaijan,2530.484
Bahamas,171.632
Bahrain,972.275
Bangladesh,1650.25
Barbados,56.11
Belarus,5007.976
Belgium,12644.15
Belize,19.833
Benin,119.036
Bermuda,29.504
Bhutan,19.719
"Bonaire, Saint Eustatius and Saba",8.627
Bosnia and Herzegovina,964.362
Botswana,156.471
Brazil,16672.438
British Virgin Islands,5.674
Brunei Darussalam,371.266
Bulgaria,3873.285
Burkina Faso,74.569
Burundi,13.827
Cambodia,185.28
Canada,34115.395
Cape Verde,15.299
Central African Republic,10.814
Chad,36.605
Chile,2996.752
China,249352.818
Christmas Island,1.33
Colombia,3503.544
Comoros,5.63
Congo,110.436
Cook Islands,2.437
Costa Rica,261.266
Côte d'Ivoire,347.682
Croatia,1118.099
Cuba,1636.841
Curaçao,575.62
Cyprus,301.471
Czech Republic,12076.991
North Korea,5172.173
Democratic Republic of the Congo,195.405
Denmark,4115.088
Djibouti,19.24
Dominica,4.981
Dominican Republic,776.145
Ecuador,1249.648
Egypt,6667.728
El Salvador,239.956
Equatorial Guinea,147.287
Eritrea,18.823
Estonia,1640.459
Ethiopia,280.639
Faeroe Islands,31.347
Micronesia (Federated States of),4.447
Fiji,49.743
Finland,3226.029
Panama Canal Zone,14.762
France,39105.765
French Equatorial Africa,2.66
French Guiana,28.186
French Polynesia,30.713
French West Africa,9.765
Gabon,274.276
Gambia,14.951
Georgia,671.612
Germany,93290.504
Ghana,398.073
Greece,4132.681
Greenland,33.547
Grenada,8.571
Guadeloupe,86.181
Guatemala,462.048
Guinea,92.929
Guinea-Bissau,10.497
Guyana,104.9
Haiti,78.55
Honduras,272.034
Hong Kong,1652.054
Hungary,5058.662
Iceland,155.319
India,57105.389
Indonesia,14933.864
Iraq,4777.052
Ireland,2263.349
Iran,19546.581
Israel,2428.609
Italy,25065.176
Jamaica,459.889
Japan,66711.083
Jordan,726.421
Kazakhstan,14219.759
Kenya,491.164
Kiribati,2.167
Kosovo,111.306
Kuwait,3010.457
Kuwaiti Oil Fires,477.925
Kyrgyzstan,848.595
Laos,174.804
Latvia,960.503
Lebanon,756.119
Leeward Islands,0.18
Lesotho,66.183
Liberia,53.785
Libya,2222.007
Liechtenstein,6.266
Lithuania,1575.84
Luxembourg,761.954
Macao,57.86
North Macedonia,642.474
Madagascar,101.226
Malawi,52.108
Malaysia,6301.489
Maldives,27.453
Mali,68.231
Malta,105.586
Marshall Islands,3.575
Martinique,90.481
Mauritania,80.76
Mauritius,120.601
Mayotte,6.78
Mexico,20587.507
Mongolia,753.727
Montenegro,105.346
Montserrat,1.608
Morocco,1809.254
Mozambique,183.136
Myanmar,642.667
Namibia,78.961
Nauru,4.917
Nepal,174.738
Netherlands,11879.458
New Caledonia,155.17
New Zealand,1916.908
Nicaragua,181.367
Niger,51.519
Nigeria,4008.988
Niue,0.302
Norway,2672.222
Occupied Palestinian Territory,62.938
Oman,1404.168
Pacific Islands (Palau),4.43
Pakistan,5273.938
Palau,6.384
Panama,324.128
Papua New Guinea,183.206
Paraguay,186.636
Peru,1995.779
Philippines,3535.601
Bolivia,577.561
Poland,28196.095
Portugal,2656.068
Puerto Rico,0.209
Qatar,2155.059
Cameroon,242.587
South Korea,18927.932
Moldova,1341.734
South Sudan,40.672
Sudan,473.842
Réunion,127.909
Romania,8647.111
Russia,117547.631
Rwanda,32.033
Ryukyu Islands,20.893
Saint Helena,0.4
Saint Lucia,14.872
Sint Maarten (Dutch part),70.289
Samoa,7.142
Sao Tome and Principe,3.51
Saudi Arabia,16705.825
Senegal,260.7
Serbia,2804.102
Seychelles,14.103
Sierra Leone,38.607
Singapore,2101.495
Slovakia,3934.303
Slovenia,864.578
Solomon Islands,10.758
Somalia,33.489
South Africa,21465.1
Spain,15100.202
Sri Lanka,521.047
Saint Kitts and Nevis,6.595
St. Kitts-Nevis-Anguilla,0.623
Saint Pierre and Miquelon,3.753
Saint Vincent and the Grenadines,7.157
Suriname,117.282
Swaziland,41.99
Sweden,5026.54
Switzerland,3059.692
Syria,1888.237
Taiwan,9319.123
Tajikistan,487.571
Thailand,7783.364
Timor-Leste,9.278
Togo,68.293
Tonga,4.57
Trinidad and Tobago,1608.578
Tunisia,938.316
Turkey,11340.784
Turkmenistan,2501.11
Turks and Caicos Islands,6.436
Tuvalu,0.287
Uganda,112.415
Ukraine,30784.733
United Arab Emirates,5101.479
United Kingdom,78508.72
Tanzania,259.24
USA,421906.855
Uruguay,378.347
Uzbekistan,6346.993
Vanuatu,4.896
Venezuela,7819.968
Viet Nam,4623.866
Wallis and Futuna Islands,0.773
Yemen,651.597
Zambia,257.662
Zimbabwe,798.217
International Transport,43062.672
Global,1736930.029
